tiempo,linear,Insectos,Mamiferos,Seres_humanos,Singularidad
20760101,137,NaN,NaN,111363.895747395,44784.9866179994
20770101,138,NaN,NaN,123076.138903629,49495.0647766201
20780101,139,NaN,NaN,136020.16942533,54700.5061793909
20790101,140,NaN,NaN,150325.535520597,60453.40863348
20800101,141,NaN,NaN,166135.410101512,66811.3491202654
20810101,142,NaN,NaN,183608.023706762,73837.9600451163
20820101,143,NaN,NaN,202918.248126057,81603.5660918942
20830101,144,NaN,NaN,224259.346575777,90185.8880560255
20840101,145,NaN,NaN,247844.907942196,99670.8207003453
20850101,146,NaN,NaN,273910.984450851,110153.292418754
20860101,147,NaN,NaN,302718.454156552,121738.215311489
20870101,148,NaN,NaN,334555.631898637,134541.53518069
20880101,149,NaN,NaN,369741.154852795,148691.39195495
20890101,150,NaN,NaN,408627.171559014,164329.402156798
20900101,151,NaN,NaN,NaN,181612.076248451
20910101,152,NaN,NaN,NaN,200712.385041125
20920101,153,NaN,NaN,NaN,221821.490845053
20930101,154,NaN,NaN,NaN,245150.660686136
20940101,155,NaN,NaN,NaN,270933.380737348
20950101,156,NaN,NaN,NaN,299427.693126834
20960101,157,NaN,NaN,NaN,330918.778510256
20970101,158,NaN,NaN,NaN,365721.810254652
20980101,159,NaN,NaN,NaN,404185.108799422
20990101,160,NaN,NaN,NaN,446693.627764362
21000101,161,NaN,NaN,NaN,493672.806694882
